A+A,Médecin,TURON JEAN PIERRE,01/06/2012,31/05/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BLAIS MELANIE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BLAIS MELANIE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CLUIS PATRICE,26/02/2014,26/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CLUIS PATRICE,25/09/2013,25/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CLUIS PATRICE,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HUNEAU KARINE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HUNEAU KARINE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PAPIN HUBERT,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,PAPIN HUBERT,25/09/2013,25/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PAPIN HUBERT,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PAPIN HUBERT,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PAPIN HUBERT,26/02/2014,26/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PAQUE GAEL,25/09/2013,25/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PAQUE GAEL,26/02/2014,26/02/2014 -,Formation,,
ASTRAZENECA,Médecin,SAINTARAILLES JEAN,19/03/2014,19/03/2014 -,Formation,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RANNIN MARIE-CHRISTINE,10/04/2014,10/04/2014 -,[FORMATION],,
CHIESI SA,Médecin,PAPIN HUBERT,24/10/2013,24/10/2013 - 24/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PAPIN HUBERT,04/02/2014,04/02/2014 - 04/02/2014,Autre : HOSPITALITE RP,,
EFFIK,Médecin,LE MOIGNE MARTINE,22/05/2014,22/05/2014 - 22/05/2014,HOSPITALITE,,
