BOIRON,Autres types de personne morale,PHARMACIE PASCAL,30/08/2013,30/08/2013 -,[RECHERCHE],,
BOIRON,Pharmacien,LASSAGNE SOPHIE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LASSAGNE SOPHIE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,RICHARD FRANCOISE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,RICHARD FRANCOISE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PASCAL BRUNO,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PASCAL BRUNO,17/04/2014,17/04/2014 -,[FORMATION],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE GINDRE-BERNADAC,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LOL PHARMA,Pharmacien,BERNADAC ET GINDRE ET ASSOCIES BERNADAC ET GINDRE ET ASSOCIES,09/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BERNADAC ET GINDRE ET ASSOCIES BERNADAC ET GINDRE ET ASSOCIES,09/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
PIERRE FABRE MEDICAMENT,Médecin,YAILIAN BERNARD,16/01/2014,16/01/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,YAILIAN BERNARD,05/12/2013,05/12/2013 -,CONVENTION D'HOSPITALITE,,
RESMED SAS,Chirurgien-dentiste,CHICHOUX DESCOURVIERES MARTINE,27/03/2014,27/03/2014 - 27/03/2014,Formation,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
