A+A,Médecin,SEBAG JEAN PAUL,30/07/2012,30/07/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Pouradier Odile,29/05/2014,29/05/2014 -,[Marketing],,
All Global,Médecin,Pouradier Odile,24/04/2014,24/04/2014 -,[Marketing],,
All Global,Médecin,Sebag Jean-paul,19/12/2013,19/12/2013 -,[Marketing],,
ASTRAZENECA,Médecin,BLOND PIERRE ANDRE,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LEGOIX LUC,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LEGOIX LUC,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PECILE JEAN CLAUDE,28/11/2013,28/11/2013 -,Formation,,
Carl Zeiss Meditec France,Médecin,TACONET DANIELLE,26/08/2013,19/10/2013 - 19/10/2013,FORMATION,,
HOSPIRA FRANCE,Association professionnel de santé,ASSOCIATION CHARLES DEBRAY,24/07/2012,24/07/2012 -,INVESTIGATEUR,,
HOSPIRA FRANCE,Association professionnel de santé,ASSOCIATION CHARLES DEBRAY,16/07/2012,16/07/2012 -,INVESTIGATEUR,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAZILLIO CHRISTOPHE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES ALCON,Médecin,TACONET DANIELLE,11/10/2013,11/10/2013 -,FORMATION,,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,STAND IDEAL,08/10/2013,08/10/2013 -,AUTRE : PRESTATION DE SERVICES,,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,STAND IDEAL,18/09/2013,18/09/2013 -,AUTRE : PRESTATION DE SERVICES,,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,STAND IDEAL,15/10/2013,15/10/2013 -,AUTRE : PRESTATION DE SERVICES,,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,STAND IDEAL,21/10/2013,21/10/2013 -,AUTRE : PRESTATION DE SERVICES,,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,STAND IDEAL,23/10/2013,23/10/2013 -,AUTRE : PRESTATION DE SERVICES,,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,STAND IDEAL,18/09/2013,18/09/2013 -,AUTRE : PRESTATION DE SERVICES,,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,STAND IDEAL,18/09/2013,18/09/2013 -,AUTRE : PRESTATION DE SERVICES,,
