A+A,Médecin,TIRY BERTRAND,29/01/2013,18/01/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,LEURENT BRUNO,28/01/2014,28/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTELLAS PHARMA,Médecin,ZINI LAURENT,23/07/2013,23/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,LEDOUX JEAN PIERRE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,LEDOUX JEAN PIERRE,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LEDOUX JEAN PIERRE,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LEDOUX JEAN PIERRE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VANDECANDELAERE GUY,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VANDECANDELAERE GUY,10/04/2014,10/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BILBAULT NICOLAS,09/04/2014,09/04/2014 - 09/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BIOGEN IDEC FRANCE,Médecin,BILBAULT NICOLAS,18/12/2013,18/12/2013 -,CONVENTION D HOSPITALITE,,
BIOGEN IDEC FRANCE,Médecin,BILBAULT NICOLAS,01/04/2014,01/04/2014 - 04/04/2014,CONVENTION D HOSPITALITE,,
COVIDIEN FRANCE S.A.S.,Médecin,DABROWSKI ANDRE,12/03/2014,13/06/2014 - 13/06/2014,COLLABORATION SCIENTIFIQUE,,
COVIDIEN FRANCE S.A.S.,Médecin,DABROWSKI ANDRE,19/06/2014,12/06/2014 -,HOSPITALITE,,
COVIDIEN FRANCE S.A.S.,Médecin,DABROWSKI ANDRE,09/04/2014,09/04/2014 - 31/12/2014,COLLABORATION SCIENTIFIQUE,,
COVIDIEN FRANCE S.A.S.,Médecin,TIRY PHILIPPE,19/06/2014,12/06/2014 -,HOSPITALITE,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEDOUX JEAN PIERRE,03/10/2013,03/10/2013 - 03/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,LEDOUX JEAN PIERRE,24/01/2014,24/01/2014 - 25/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,LEDOUX JEAN PIERRE,13/05/2014,13/05/2014 - 13/05/2014,Autre : [hospitalité],,
ETHICON,Médecin,DABROWSKI ANDRE,27/02/2014,27/02/2014 - 27/02/2014,CONGRES / SYMPOSIUM,,
