A+A,Médecin,HERON DUCELLIER NATHALIE,09/01/2013,07/01/2013 -,ETUDE DE MARCHE,,
DAIICHI SANKYO FRANCE SAS,Médecin,CARDINALE SALVATORE,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,CARDINALE SALVATORE,10/04/2014,10/04/2014 - 10/04/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,KARAR BRAHIM,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,KARAR BRAHIM,10/04/2014,10/04/2014 - 10/04/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,NUTTE CHRISTOPHE,10/04/2014,10/04/2014 - 10/04/2014,Autre : [hospitalité],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DELEAU PHIE DELEAU,24/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DELEAU PHIE DELEAU,23/08/2013,05/09/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DELEAU PHIE DELEAU,23/08/2013,05/09/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DELEAU PHIE DELEAU,28/03/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DELEAU PHIE DELEAU,28/03/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DELEAU PHIE DELEAU,03/02/2014,06/03/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GARCIA GILLES,19/10/2012,19/10/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GROUX GILLES,29/11/2013,29/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KARAR BRAHIM,29/11/2013,29/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,DELEAU THIERRY,29/11/2013,29/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES CONVATEC,Infirmier,BAILLY SEVERINE,03/06/2014,03/06/2014 - 03/06/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,FROMONT FABIENNE,03/06/2014,03/06/2014 - 03/06/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,JUAN CHRISTOPHE,03/06/2014,03/06/2014 - 03/06/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,MONE CHRISTIANE,03/06/2014,03/06/2014 - 03/06/2014,AUTRE,,
