ASTRAZENECA,Etudiant,GREGOIRE CELINE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BRENNER GIRAULT EVELYNE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BRENNER GIRAULT EVELYNE,11/03/2014,11/03/2014 -,Formation,,
CHIESI SA,Médecin,BRENNER GIRAULT EVELYNE,27/03/2014,27/03/2014 - 27/03/2014,Autre : HOSPITALITE RP,,
Lilly France SAS,Médecin,GAUDRY SYLVIE,25/09/2013,25/09/2013 - 25/09/2013,INVITATION,,
MSD France,Médecin,BRENNER EVELYNE,04/10/2013,04/10/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BRENNER EVELYNE,26/06/2014,26/06/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MERHEB GERALD,04/10/2013,04/10/2013 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BOISEAU,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BOISEAU,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BOISEAU,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE NOUVELLE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE NOUVELLE / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
