A+A,Médecin,RIGAUD XAVIER,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CAMIER GUISLAINE,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CATRYSSE BENOIT,28/03/2014,28/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LESUR STEPHANE,28/03/2014,28/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LESUR STEPHANE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Pharmacien,HERNU JOELLE,03/10/2013,03/10/2013 -,Formation,,
BOIRON,Médecin,CAMIER GUISLAINE,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,CICHOCKI VIRGINIE,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LESART EDITH,03/04/2014,03/04/2014 -,[FORMATION],,
CHIESI SA,Médecin,CATRYSSE BENOIT,27/03/2014,27/03/2014 - 27/03/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,LESUR STEPHANE,27/03/2014,27/03/2014 - 27/03/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,RIGAUD XAVIER,27/03/2014,27/03/2014 - 27/03/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,BERDNICK PIERRE,19/09/2013,19/09/2013 - 20/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,CAMIER GUISLAINE,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,CATRYSSE BENOIT,19/09/2013,19/09/2013 - 20/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,CATRYSSE BENOIT,07/12/2013,07/12/2013 - 08/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,RIGAUD XAVIER,19/09/2013,19/09/2013 - 20/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,RIGAUD XAVIER,17/01/2013,17/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAMIER GUISLAINE,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAMIER GUISLAINE,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
