ASTRAZENECA,Médecin,GUYONVARCH PHILIPPE,15/04/2014,15/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,GUYONVARCH PHILIPPE,19/12/2013,19/12/2013 - 19/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUYONVARCH PHILIPPE,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUYONVARCH PHILIPPE,22/11/2013,22/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES URGO,Pharmacien,ALLAINGUILLAUME Morgane,03/06/2014,03/06/2014 -,Congrès / Symposium,,
LABORATOIRES URGO,Pharmacien,LE BRICQUIR Florence,03/06/2014,03/06/2014 -,Congrès / Symposium,,
LABORATOIRES URGO,Pharmacien,LE ROI Marwen,03/06/2014,03/06/2014 -,Congrès / Symposium,,
LES LABORATOIRES SERVIER,Médecin,GUYONVARC'H PHILIPPE,11/03/2014,11/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LOL PHARMA,Pharmacien,BIETH ET SALIOU BIETH ET SALIOU,24/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BIETH ET SALIOU BIETH ET SALIOU,24/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,GUYONVARCH PHILIPPE,19/06/2012,19/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GUYONVARCH PHILIPPE,27/02/2014,27/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GUYONVARCH PHILIPPE,06/03/2014,06/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GUYONVARCH PHILIPPE,05/06/2014,05/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GUYONVARCH PHILIPPE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GUYONVARCH PHILIPPE,24/01/2012,24/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GUYONVARCH PHILIPPE,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,ALLAINGUILLAUME MORGANE,10/05/2012,10/05/2012 -,CONVENTION D HOSPITALITE,,
NOVO NORDISK,Médecin,LEROUX JOEL,19/10/2013,19/10/2013 - 20/10/2013,[HOSPITALITE],,
PIERRE FABRE MEDICAMENT,Médecin,GUYONVARCH PHILIPPE,20/05/2014,20/05/2014 -,CONVENTION D'HOSPITALITE,,
