ASTRAZENECA,Médecin,ROSEAU PIERRE LUC,03/04/2014,03/04/2014 -,Formation,,
BOIRON,Médecin,ROSEAU PIERRE LUC,11/06/2014,11/06/2014 -,[FORMATION],,
BOIRON,Médecin,ROSEAU PIERRE LUC,09/04/2014,09/04/2014 -,[FORMATION],,
BOIRON,Médecin,ROSEAU PIERRE LUC,09/04/2014,09/04/2014 -,[FORMATION],,
BOIRON,Médecin,ROSEAU PIERRE LUC,12/02/2014,12/02/2014 -,[FORMATION],,
BOIRON,Médecin,ROSEAU PIERRE LUC,25/09/2013,25/09/2013 -,[FORMATION],,
BOIRON,Médecin,ROSEAU PIERRE LUC,11/12/2013,11/12/2013 -,[FORMATION],,
Laboratoires Grünenthal SAS,Médecin,COHEN FABRE HELENE,19/03/2014,19/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,HATTON BENOIT,06/06/2014,06/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,PRESTAUX GHISLAIN,06/06/2014,06/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,SANCHEZ VALERIE,06/06/2014,06/06/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,ROSEAU PIERRE-LUC,19/09/2013,19/09/2013 -,Autre : Manifestation scientifique,,
MSD France,Médecin,ALAZARD ANDRE,17/04/2014,17/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PRESTAUX GHISLAIN,17/04/2014,17/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ROSEAU PIERRE LUC,17/04/2014,17/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SANCHEZ VALERIE,17/04/2014,17/04/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,LE BORGNE ERIC,24/04/2014,24/04/2014 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU JEU DE BALLON / SELARL,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LOMBARD / SELARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
ULURU SANTE / VIGIE Pharma,Médecin,MOTHY Bilal,01/07/2013,01/07/2013 -,Etudes,,
