3M France,Association professionnel de santé,LES 4 ID FORMATION,03/10/2013,03/10/2013 -,AUTRE : [PARTENARIAT],,
A+A,Médecin,DUPOND LEPAGE DELPHINE,07/02/2013,07/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,RODRIGUEZ THIERRY,27/12/2013,26/12/2013 -,ETUDE DE MARCHE,,
ALK-Abelló,Médecin,CHENOST CLAUDE,08/10/2013,08/10/2013 - 08/10/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,GUILLEMOT BRUNO,08/10/2013,08/10/2013 - 08/10/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ASTRAZENECA,Médecin,BRUCHET CECILE,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BRUCHET CECILE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,CHENOST CLAUDE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHENOST CLAUDE,11/02/2014,11/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CHENOST CLAUDE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,FERON PASCAL,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FERON PASCAL,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FERON PASCAL,07/01/2014,07/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLEMOT BRUNO,11/02/2014,11/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLEMOT BRUNO,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LECLAIR PHILIPPE,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MALAVOY VINCENT,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MALAVOY VINCENT,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,MALAVOY VINCENT,11/02/2014,11/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MALAVOY VINCENT,07/01/2014,07/01/2014 -,Formation,,
