A+A,Médecin,LELAURE CHRISTOPHE,02/07/2012,03/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LE PETIT CAROLINE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VARLET SANDRINE,13/12/2013,13/12/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,GUETTE CHRISTIAN,25/03/2014,25/03/2014 - 25/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LE PETIT CAROLINE,25/03/2014,25/03/2014 - 25/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BIGOT MORA ALINE,13/05/2014,13/05/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LELAURE CHRISTOPHE,15/10/2013,15/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Médecin,VARLET SANDRINE,26/09/2013,26/09/2013 -,[FORMATION],,
BOIRON,Médecin,VARLET SANDRINE,20/11/2013,20/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FAUVIAUX ANNE,26/06/2014,26/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUAS TIFFANY,26/06/2014,26/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,THOMAS MARION,26/06/2014,26/06/2014 -,[FORMATION],,
EFFIK,Médecin,LE PETIT CAROLINE,09/04/2014,09/04/2014 - 09/04/2014,HOSPITALITE,,
EFFIK,Médecin,VARLET SANDRINE,09/04/2014,09/04/2014 - 09/04/2014,HOSPITALITE,,
FERRING SAS,Médecin,BROUX PIERRE LOUIS,17/01/2014,17/01/2014 - 17/01/2014,Autre : Manifestation Scientifique,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE SERTIN PHIE SERTIN,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE SERTIN PHIE SERTIN,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE SERTIN PHIE SERTIN,05/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUETTE CHRISTIAN,04/10/2013,04/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE PETIT CAROLINE,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d'Hospitalité],,
