A+A,Médecin,HERMITTE SANDRINE,30/07/2012,30/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CURTI ROSINE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CURTI ROSINE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CURTI ROSINE,17/10/2013,17/10/2013 -,Formation,,
ASTRAZENECA,Médecin,RAVIER FRANCIS,17/09/2013,17/09/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,PIGEARD FRANCOIS,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,RAVIER FRANCIS,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,RAVIER FRANCIS,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
JANSSEN-CILAG,Infirmier,CARBONNE ESTELLE,11/12/2013,11/12/2013 - 11/12/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAVRE FRANCOIS ELISABETH,15/04/2014,15/04/2014 - 15/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAVIER FRANCIS,15/04/2014,15/04/2014 - 15/04/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,FRANCOIS MARC,18/12/2013,18/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,RAVIER FRANCIS,18/02/2014,18/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Médecin,PIGEARD FRANCOIS,20/05/2014,20/05/2014 - 20/05/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
LUNDBECK SAS,Médecin,CURTI ROSINE,11/02/2014,11/02/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
M3 Global Research Ltd,Médecin,Irchid Alnaasan,02/05/2014,02/05/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,IRCHID alnaasan,19/05/2014,19/05/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Irchid Al Naasan,10/04/2014,10/04/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Irchid Al naasan,16/05/2014,16/05/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Irchid al naasna,17/06/2014,17/06/2014 -,Marketing,,
