ASTRAZENECA,Médecin,HAMZA AUGUSTIN,21/01/2014,21/01/2014 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LAUREND PHIE LAUREND,11/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LAUREND PHIE LAUREND,11/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,VIALLET VIALLET,12/07/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,VIALLET VIALLET,12/03/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,VIALLET VIALLET,30/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MEDTRONIC France S.A.S,Médecin,HAMZA AUGUSTIN,11/03/2014,11/03/2014 - 11/03/2014,CONGRES/SYMPOSIUM,,
PASCALEO,Médecin,NAVARRO PIERRE,21/05/2014,21/05/2014 -,AUTRE,,
PHARMA DOM,Médecin,HAMZA MARIUS,27/03/2014,27/03/2014 -,MANIFESTAION A CARACTERE PROFESSIONNEL ET SCIENTIFIQUE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAUREND,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SAINT ANDRE/ SELARL,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SAINT ANDRE/ SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SAINT ANDRE/ SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SAINT ANDRE/ SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
