A+A,Médecin,BOZZOLA PATRICK,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Pharmacien,MAIRE EMILIE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Pharmacien,MENOUX JACQUES,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Pharmacien,SAMUELLI LILIANE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Pharmacien,SPANGENBERGER KHADIJA,05/12/2013,05/12/2013 -,Formation,,
CHIESI SA,Médecin,MARGAROLI ERIC,16/01/2014,16/01/2014 - 16/01/2014,Autre : HOSPITALITE RP,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,13/09/2013,13/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,23/05/2014,23/05/2014 - 23/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,05/02/2014,05/02/2014 - 05/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES COLOPLAST,Infirmier,DELLEVILLE BRIGITTE,19/09/2013,19/09/2013 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,JONAS CHRISTELLE,19/09/2013,19/09/2013 -,Autre : convention d'hospitalité,,
