A+A,Médecin,TRICART JOHANN,06/04/2012,05/04/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LEGELEUX CATHERINE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LUCARD COYRAL EMILIE,29/01/2014,29/01/2014 -,Formation,,
ASTRAZENECA,Médecin,VAREILLE SERGE,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VAREILLE SERGE,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VAREILLE SERGE,10/07/2013,10/07/2013 -,Formation,,
ASTRAZENECA,Médecin,VAREILLE SERGE,23/10/2013,23/10/2013 -,Formation,,
ASTRAZENECA,Médecin,VAREILLE SERGE,22/01/2014,22/01/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,VAREILLE SERGE,29/01/2014,29/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
JANSSEN-CILAG,Médecin,LUCARD COYRAL EMILIE,12/06/2013,12/06/2013 - 12/06/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LARQUE FABRICE,16/10/2013,16/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUCARD COYRAL EMILIE,16/10/2013,16/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAREILLE SERGE,18/12/2013,18/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,RATINAUD LEGELEUX SYLVIE,16/04/2014,16/04/2014 - 16/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VILLEGER MURIELLE,16/04/2014,16/04/2014 - 16/04/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,LARQUE FABRICE,16/04/2014,16/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,LUCARD COYRAL EMILIE,16/04/2014,16/04/2014 -,REUNION SCIENTIFIQUE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,LEGELEUX Catherine,13/02/2014,13/02/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,VAREILLE SERGE,19/02/2014,19/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,VAREILLE SERGE,20/11/2013,20/11/2013 -,Autre : Manifestation scientifique,,
