A+A,Pharmacien,CARETTE CATHERINE,13/06/2014,13/06/2014 -,ETUDE DE MARCHE,,
LES LABORATOIRES SERVIER,Médecin,SOWINSKI JEAN PHILIPPE,11/12/2013,11/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,SOWINSKI JEAN PHILIPPE,19/06/2014,19/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,SOWINSKI JEAN PHILIPPE,06/03/2014,06/03/2014 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,PIED PATRICK,10/06/2014,10/06/2014 - 10/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,PIED PATRICK,07/01/2014,07/01/2014 - 07/01/2014,Autre : Réunion scientifique,,
SANOFI AVENTIS FRANCE,Médecin,THUMEREL DECARSIN MARIE FRANCOISE,06/05/2014,06/05/2014 - 06/05/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE CARETTE PREVOTEAU,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CARETTE PREVOTEAU,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CARETTE PREVOTEAU,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CARETTE PREVOTEAU,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
