A+A,Médecin,THOUMAZOU STEPHANE,11/07/2012,10/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DENIS HELENE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DUHALDE PIERRE,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GAFSI MARTIN PATRICIA,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LE GALL BELLANGER DANIELE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LE GALL BELLANGER DANIELE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,NOMDEDEU CHRISTIAN,12/06/2014,12/06/2014 -,Formation,,
ASTRAZENECA,Médecin,NOMDEDEU CHRISTIAN,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,SUBERVIE CLAIRE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,UHALDE MIREN,04/07/2013,04/07/2013 -,Formation,,
Axess Research,Médecin,MARTINEZ EMMANUEL,07/04/2014,07/04/2014 - 07/04/2014,Autre : ETUDE DE MARCHE,,
Axess Research,Médecin,MARTINEZ EMMANUEL,27/02/2014,27/02/2014 - 27/02/2014,Autre : ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,DUHALDE PIERRE,21/01/2014,21/01/2014 - 21/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,BERNEDE VALERIE,12/06/2014,12/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DARRIGOL CHRISTELLE,06/05/2014,06/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DARRIGOL CHRISTELLE,12/06/2014,12/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MORTALENA MARITXU,12/06/2014,12/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MORTALENA MARITXU,06/05/2014,06/05/2014 -,[FORMATION],,
CHIESI SA,Médecin,LE GALL BELLANGER DANIELE,21/11/2013,21/11/2013 - 21/11/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,NOMDEDEU CHRISTIAN,28/11/2013,28/11/2013 - 28/11/2013,Autre : HOSPITALITE RP,,
