A+A,Médecin,LE FILLEUL ALPHONSE,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,26/06/2014,26/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFILLEUL ALPHONSE,10/04/2014,10/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,LEFILLEUL ALPHONSE,17/09/2013,17/09/2013 - 17/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LEFILLEUL ALPHONSE,17/12/2013,17/12/2013 - 17/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEFILLEUL ALPHONSE,18/12/2013,18/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEFILLEUL ALPHONSE,12/02/2014,12/02/2014 - 12/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEFILLEUL ALPHONSE,05/09/2013,05/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEFILLEUL ALPHONSE,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d’Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,LEFILLEUL ALPHONSE,25/03/2014,25/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,LEFILLEUL ALPHONSE,01/10/2013,01/10/2013 -,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,LEFILLEUL ALPHONSE,27/05/2014,27/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,LEFILLEUL ALPHONSE,18/02/2014,18/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MSD France,Médecin,LEFILLEUL ALPHONSE,05/06/2012,05/06/2012 -,CONVENTION D HOSPITALITE,,
