A+A,Médecin,LE TOURMY PIERRE ALAIN,27/12/2013,23/12/2013 -,ETUDE DE MARCHE,,
All Global,Médecin,Jarade Olivier,17/01/2014,07/01/2014 -,[Marketing],,
All Global,Médecin,Jarade Olivier,11/04/2014,11/04/2014 -,[Marketing],,
All Global,Médecin,Jarade Olivier,28/05/2014,28/05/2014 -,[Marketing],,
All Global,Médecin,Jarade Olivier,28/05/2014,25/05/2014 -,[Marketing],,
All Global,Médecin,Jarade Olivier,29/04/2014,25/04/2014 -,[Marketing],,
All Global,Médecin,Jarade Olivier,16/03/2014,14/03/2014 -,[Marketing],,
All Global,Médecin,Jarade Olivier,28/10/2013,28/10/2013 -,[Marketing],,
All Global,Médecin,Jarade Olivier,23/10/2013,23/10/2013 -,[Marketing],,
All Global,Médecin,Jarade Olivier,25/04/2014,09/04/2014 -,[Marketing],,
All Global,Médecin,Jarade Olivier,25/01/2014,24/01/2014 -,[Marketing],,
ASTRAZENECA,Médecin,COFFINIER PASCAL,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GIESZ JEAN PIERRE,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MEVELLEC JEAN MICHEL,20/03/2014,20/03/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,GIESZ JEAN PIERRE,06/03/2014,06/03/2014 - 06/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Pharmacien,FRAISSE CHRISTELLE,19/12/2013,19/12/2013 - 20/12/2013,Congrès / Symposium,,
M3 Global Research Ltd,Médecin,olivier jarade,23/05/2014,24/05/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Olivier Jarade,24/04/2014,28/04/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Olivier Jarade,31/03/2014,31/03/2014 -,Marketing,,
MENARINI FRANCE,Médecin,COFFINIER PASCAL,06/03/2014,06/03/2014 - 06/03/2014,Autre : Réunion scientifique,,
