Axess Research,Médecin,MEURISSE JEAN JACQUES,05/03/2014,05/03/2014 - 05/03/2014,Autre : ETUDE DE MARCHE,,
BOIRON,Médecin,SAVI HERVE,11/06/2014,11/06/2014 -,[FORMATION],,
GEISTLICH PHARMA FRANCE,Association professionnel de santé,ADAFCOS Association Départementale de l' Ain de Formation Continue en Odonto-stomatologie,23/07/2013,12/09/2013 - 12/09/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,30/01/2014,30/01/2014 - 30/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,SAVI HERVE,11/07/2013,11/07/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,SAVI HERVE,17/04/2014,17/04/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,CARON JACQUES,23/01/2014,23/01/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,SAVI HERVE,23/01/2014,23/01/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,VOARICK JACK PIERRE,23/01/2014,23/01/2014 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,CARON JACQUES,19/09/2013,19/09/2013 - 19/09/2013,INVITATION,,
Lilly France SAS,Médecin,VOARICK JACK PIERRE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,VOARICK JACK PIERRE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
PIERRE FABRE MEDICAMENT,Médecin,CARON JACQUES,05/12/2013,05/12/2013 -,CONVENTION D'HOSPITALITE,,
