ASTRAZENECA,Médecin,MEUR PASCALE,17/04/2014,17/04/2014 -,Formation,,
CHIESI SA,Médecin,MEUR PASCALE,30/01/2014,30/01/2014 - 30/01/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,BERNARD DANIEL,26/09/2013,26/09/2013 - 26/09/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD DANIEL,13/12/2013,13/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEUR PASCALE,13/12/2013,13/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEUR PASCALE,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,ARCHIMBAUD PHILIPPE,04/07/2013,04/07/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BERNARD DANIEL,25/01/2014,25/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MEUR PASCALE,19/11/2013,19/11/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,BOUCHER PIERRE BOUCHER PIERRE,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BOUCHER PIERRE BOUCHER PIERRE,03/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BOUCHER PIERRE BOUCHER PIERRE,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ESPINAS CORINNE ESPINAS CORINNE,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ESPINAS CORINNE ESPINAS CORINNE,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ESPINAS CORINNE ESPINAS CORINNE,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ESPINAS CORINNE ESPINAS CORINNE,06/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,ARCHIMBAUD PHILIPPE,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ARCHIMBAUD PHILIPPE,19/06/2014,19/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MEUR PASCALE,11/03/2014,11/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MEUR PASCALE,20/02/2014,20/02/2014 -,CONVENTION D’HOSPITALITÉ,,
