A+A,Médecin,BOUCLY ETIENNE,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
Actelion Pharmaceuticals France,Médecin,ASSAF ABDERRAHMANE,17/10/2013,17/10/2013 - 17/10/2013,AUTRE [CONNEXION],,
ASTRAZENECA,Médecin,CLIQUENNOIS JEAN CLAUDE,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DELESALLE MARYVONNE,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DUSART JEAN FRANCOIS,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FAYARD CHRISTIAN,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,NGUYEN BRUNO,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,NGUYEN BRUNO,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,NGUYEN VALERIE,27/11/2013,27/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,ASSAF ABDERRAHMANE,04/04/2014,04/04/2014 - 06/04/2014,CONGRES / SYMPOSIUM,,
BOIRON,Pharmacien,COMYN ANNE,12/09/2013,12/09/2013 -,[RECHERCHE],,
DAIICHI SANKYO FRANCE SAS,Médecin,ASSAF ABDERRAHMANE,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,ASSAF ABDERRAHMANE,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DELESALLE MARYVONNE,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DUSART JEAN FRANCOIS,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,NGUYEN BRUNO,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLIQUENNOIS JEAN CLAUDE,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES MAYOLY SPINDLER,Médecin,CLIQUENNOIS JEAN CLAUDE,15/06/2014,15/06/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,ASSAF ABDERRAHMANE,07/12/2013,07/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BOUCLY ETIENNE,13/05/2014,13/05/2014 -,Recherche,,
