A+A,Médecin,DELIKTAS MUSTAPHA,29/01/2013,29/01/2013 -,ETUDE DE MARCHE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LONGEAU PHIE DE LONGEAU,19/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,JANIN ET FURER JANIN ET FURER,21/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Infirmier,JAMAI SABRINA,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Infirmier,ZUNINO OLIVIA,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GENDROT YVES,18/02/2014,18/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCEAU CHRISTOPHE,18/02/2014,18/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,POISSENOT FRANCOIS XAVIER,18/02/2014,18/02/2014 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LONGEAU / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LONGEAU / SNC,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LONGEAU / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LONGEAU / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
