A+A,Médecin,HESLER CLAUDE,26/01/2012,24/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,AUPIC MARIE CHRISTINE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COUVAL MARIE NOELLE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COUVAL MARIE NOELLE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HESLER CLAUDE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HESLER CLAUDE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HOUTMANN REMI,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HOUTMANN REMI,05/11/2013,05/11/2013 -,Formation,,
LES LABORATOIRES SERVIER,Médecin,HOUTMANN REMY,06/09/2013,06/09/2013 -,Autre : Manifestation scientifique,,
MSD France,Médecin,SANYAS FRANCOIS,17/04/2014,17/04/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,AUPIC MARIE CHRISTINE,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,AUPIC MARIE CHRISTINE,10/06/2014,10/06/2014 - 10/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,COUVAL MARIE NOELLE,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,COUVAL MARIE NOELLE,10/06/2014,10/06/2014 - 10/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,HESLER CLAUDE,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,HESLER CLAUDE,10/06/2014,10/06/2014 - 10/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,HOUTMANN REMI,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Réunion],,
