A+A,Médecin,BENJELLOUN MOHAMED,26/09/2012,25/09/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,EYCHENNE ENGEL BRIGITTE,27/05/2014,27/05/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,EYCHENNE ENGEL BRIGITTE,05/11/2013,05/11/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ORTIZ NATHALIE,11/02/2014,11/02/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ORTIZ NATHALIE,11/02/2014,11/02/2014 -,[FORMATION],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES THERMES PHIE DES THERMES,28/03/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES THERMES PHIE DES THERMES,28/03/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES THERMES PHIE DES THERMES,28/03/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
Laboratoires Grünenthal SAS,Médecin,BOISENFRAY PASCALE,12/06/2014,12/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,EYCHENNE ENGEL BRIGITTE,25/03/2014,25/03/2014 -,REUNION SCIENTIFIQUE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,EYCHENNE ENGEL BRIGITTE,30/01/2014,30/01/2014 -,Conseil Relations professionnelles,,
LOL PHARMA,Pharmacien,SAINT MARTIN ET DURANTHON SAINT MARTIN ET DURANTHON,05/09/2013,10/09/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
MSD France,Médecin,CIOCARLAN CORNELIU,02/07/2013,02/07/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,EYCHENNE ENGEL BRIGITTE,11/06/2014,11/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,EYCHENNE ENGEL BRIGITTE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAPORTE RAPHAELLE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SUFFRAN JEAN,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,BOISENFRAY PASCALE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,BOISENFRAY PASCALE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,EYCHENNE ENGEL BRIGITTE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Réunion],,
