AbbVie,Médecin,PARSEMAIN PIERRE-ANDRE,17/04/2014,17/04/2014 -,RECHERCHE,,
AbbVie,Médecin,PHAM TAO,10/10/2013,15/11/2013 -,AUTRE: [CONTRAT DE COLLABORATION SCENTIFIQUE],,
AbbVie,Médecin,PHAM THAO,19/08/2013,09/09/2013 -,AUTRE: [CONTRAT DE COLLABORATION SCENTIFIQUE],,
AbbVie,Médecin,ROUDIL FRANCOISE,22/04/2014,22/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,ROUDIL FRANCOISE,09/04/2014,09/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ALLERGAN FRANCE,Médecin,ROUDIL FRANCOISE,23/01/2013,01/02/2013 - 31/01/2014,FORMATION,,
ALLERGAN FRANCE,Médecin,ROUDIL FRANCOISE,13/02/2014,17/03/2014 - 17/03/2014,FORMATION,,
ALLERGAN FRANCE,Médecin,ROUDIL FRANCOISE,23/01/2013,01/02/2013 - 31/01/2014,FORMATION,,
AMGEN SAS,Médecin,GROB JEAN JACQUES,18/06/2014,04/06/2014 - 05/07/2014,AUTRE [CONVENTION D EXPERT],,
ASTRAZENECA,Médecin,ALBRECHT NADINE,02/07/2013,02/07/2013 -,Formation,,
ASTRAZENECA,Médecin,BENAZZA NADIR LAKHDAR,02/07/2013,02/07/2013 -,Formation,,
ASTRAZENECA,Médecin,FONOLLOSA DIDIER,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,FONOLLOSA DIDIER,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FONOLLOSA DIDIER,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FONOLLOSA DIDIER,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FONOLLOSA DIDIER,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FONOLLOSA DIDIER,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,KOLEGA LAURENCE,03/07/2013,03/07/2013 -,Formation,,
ASTRAZENECA,Médecin,KOLEGA LAURENCE,21/05/2014,21/05/2014 -,Formation,,
ASTRAZENECA,Médecin,KOLEGA LAURENCE,23/04/2014,23/04/2014 -,Formation,,
