Amplifon Groupe France,Médecin,MATTRAY Dominique,12/10/2013,12/10/2013 - 14/10/2013,CONGRES,,
ASTRAZENECA,Etudiant,FLORENT AUDE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BRIAT MICHELE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,JULIEN MICHEL,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LACROIX SIROPT FRANCOISE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LACROIX SIROPT FRANCOISE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MOUGEL ODILE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MOUGEL ODILE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MOUGEL ODILE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,SION PATRICE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,SION PATRICE,16/01/2014,16/01/2014 -,Formation,,
Audika Groupe SA,Médecin,MATTRAY DOMINIQUE,19/12/2013,30/01/2014 - 01/02/2014,CONGRES,,
B3TSI,Médecin,BIRCAN CIHAN MAHMUT,12/06/2014,12/06/2014 -,autre : enquête téléphonique,,
Bayer HealthCare SAS,Médecin,BRIAT MICHELE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CHAPERON ANDRE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CHARTOIRE JEAN MARC,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CHEFAI CHAZOT NADIA,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CHEFAI CHAZOT NADIA,26/09/2013,26/09/2013 - 26/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DELHOMME JEAN LUC,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,FAYOLLET PASCAL,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
