ASTRAZENECA,Médecin,LIBER BENOIT,14/05/2014,14/05/2014 -,Formation,,
Lilly France SAS,Médecin,LIBER BENOIT,10/09/2013,10/09/2013 - 10/09/2013,INVITATION,,
MSD France,Médecin,LIBER BENOIT,28/11/2012,28/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LIBER BENOIT,06/09/2013,06/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LIBER BENOIT,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LIBER BENOIT,14/05/2014,14/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,BRACKE KARINE,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,BRACKE KARINE,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,HAUDIQUET ROBERT,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,HAUDIQUET ROBERT,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,BLONDIAUX JOEL,04/06/2014,04/06/2014 - 04/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,LIBER BENOIT,04/12/2013,04/12/2013 - 04/12/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE HAUDIQUET BRACKE / SARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE HAUDIQUET BRACKE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
