A+A,Médecin,LEBRUN MARC,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,TACQUET RENAUD CLAUDINE,10/01/2014,10/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,TACQUET RENAUD CLAUDINE,22/05/2014,22/05/2014 - 22/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TACQUET RENAUD CLAUDINE,11/10/2013,11/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TACQUET RENAUD CLAUDINE,28/03/2014,28/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,MADERN JEAN LOUIS,24/01/2014,24/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MADERN JEAN LOUIS,28/11/2013,28/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MADERN JEAN LOUIS,06/02/2014,06/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MADERN JEAN LOUIS,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,MADERN JEAN LOUIS,21/06/2014,21/06/2014 - 22/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,TACQUET RENAUD CLAUDINE,13/06/2014,13/06/2014 - 13/06/2014,Autre : Réunion scientifique,,
SANOFI AVENTIS FRANCE,Médecin,BEAUMONT VERONIQUE,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,CASSORET ISABELLE,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,LEFEBVRE FLORENCE,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,PLEE ANNE SOPHIE,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,ROBAIL MYRIAM,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,BRETON AMANDINE,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,DUHAMEL BRUNO,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,REAL CECILE,25/10/2013,25/10/2013 - 25/10/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Médecin,TACQUET RENAUD CLAUDINE,23/01/2014,23/01/2014 - 24/01/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
