A+A,Médecin,LEMOINE ANNIE,18/07/2013,17/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CAILLET DOMINIQUE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PERROT PATRICIA,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PERROT PATRICIA,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PERROT PATRICIA,08/10/2013,08/10/2013 -,Formation,,
Axess Research,Médecin,ANEX MATTHIEU,27/02/2014,27/02/2014 - 27/02/2014,Autre : ETUDE DE MARCHE,,
Axess Research,Médecin,PERROT PATRICIA,27/02/2014,27/02/2014 - 27/02/2014,Autre : ETUDE DE MARCHE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAILLET DOMINIQUE,18/03/2014,18/03/2014 - 18/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAILLET DOMINIQUE,17/06/2014,17/06/2014 - 17/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES COLOPLAST,Infirmier,BERNIER ISABELLE,19/01/2014,19/01/2014 -,Congrès / Symposium,,
MAPI SAS,Médecin,PERROT PATRICIA,08/07/2013,08/07/2013 -,CONVENTION DE RECHERCHE,,
MUNDIPHARMA,Médecin,PERROT PATRICIA,04/02/2014,04/02/2014 -,AUTRE: CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,PERROT PATRICIA,17/09/2013,17/09/2013 -,FORMATION,,
PASCALEO,Médecin,ANEX MATTHIEU,07/03/2014,07/03/2014 -,AUTRE,,
PASCALEO,Médecin,ANEX MATTHIEU,29/10/2013,29/10/2013 -,AUTRE,,
SANOFI AVENTIS FRANCE,Médecin,CAILLET DOMINIQUE,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE HAURAY,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE HAURAY,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE HAURAY,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
