A+A,Médecin,MARTIN JEAN LUC,28/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,PRIVAT GUY,21/11/2013,21/11/2013 - 21/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PRIVAT GUY,03/04/2014,03/04/2014 - 03/04/2014,Autre : [Convention d'Hospitalité],,
LOL PHARMA,Pharmacien,GERBAL ET SOLIGNAC GERBAL ET SOLIGNAC,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GERBAL ET SOLIGNAC GERBAL ET SOLIGNAC,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GERBAL ET SOLIGNAC GERBAL ET SOLIGNAC,03/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,PRIVAT GUY,24/04/2012,24/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,RUOLS FRANCIS,16/04/2013,16/04/2013 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PRIVAT GUY,18/02/2014,18/02/2014 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOLIGNAC GERBAL / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOLIGNAC GERBAL / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOLIGNAC GERBAL / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOLIGNAC GERBAL / SELARL,14/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
