LABORATOIRE GLAXOSMITHKLINE,Médecin,PONTHIEU PHILIPPE,04/03/2014,04/03/2014 - 04/03/2014,Autre : [Convention d'Hospitalité],,
Lilly France SAS,Médecin,PONTHIEU PHILIPPE,07/01/2014,07/01/2014 - 07/01/2014,INVITATION,,
MSD France,Médecin,PLEWA GUILLAUME,18/06/2013,18/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PLEWA GUILLAUME,18/06/2013,18/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PONTHIEU PHILIPPE,03/04/2012,03/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,PONTHIEU PHILIPPE,05/06/2014,05/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PONTHIEU PHILIPPE,18/06/2013,18/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PONTHIEU PHILIPPE,18/06/2013,18/06/2013 -,CONVENTION D’HOSPITALITÉ,,
PFIZER SAS,Médecin,PONTHIEU PHILIPPE,14/05/2014,14/05/2014 - 14/05/2014,HOSPITALITE RP/CONGRES/SYMPO,,
PIERRE FABRE MEDICAMENT,Médecin,PONTHIEU PHILIPPE,01/04/2014,01/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PONTHIEU PHILIPPE,24/09/2013,24/09/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PONTHIEU PHILIPPE,18/03/2014,18/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PONTHIEU PHILIPPE,14/01/2014,14/01/2014 -,CONVENTION D'HOSPITALITE,,
