A+A,Médecin,NIZARD NATHALIE,31/07/2013,30/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BELORGEY SEGUIN PATRICIA,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,FINDJANDJIAN BONINO JOCELYNE,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FOULLON MICHEL,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,SEGUIN JACQUES,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,VIALLARD MICHEL,08/10/2013,08/10/2013 -,Formation,,
BOIRON,Médecin,HOOGVORST CECILE,27/03/2014,27/03/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,BELORGEY SEGUIN PATRICIA,01/10/2013,01/10/2013 - 01/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,SEGUIN JACQUES,01/10/2013,01/10/2013 - 01/10/2013,Autre : [ hospitalité ],,
GILEAD SCIENCES,Autres types de personne morale,ACTIPLUS,05/07/2013,31/07/2013 -,Prestation de service,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOULLON MICHEL,18/06/2014,17/06/2014 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOULLON MICHEL,01/10/2013,01/10/2013 - 01/10/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIOVANETTO MANUEL,26/09/2013,26/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIOVANETTO KATSIARDANI PENELOPE,26/09/2013,26/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,VIALLARD MICHEL,13/01/2014,17/01/2014 - 17/01/2015,AUTRE : Recherche épidémiologique,,
MSD France,Médecin,GIOVANETTO MANUEL,24/06/2014,24/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GIOVANETTO KATSIARDANI PENELOPE,24/06/2014,24/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HOOGVORST CECILE,24/06/2014,24/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VIALLARD MICHEL,17/06/2014,17/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VIALLARD MICHEL,13/03/2014,13/03/2014 -,CONVENTION D’HOSPITALITÉ,,
