A+A,Médecin,LANGINIER DENIS,01/06/2012,31/05/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LANGINIER DENIS,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LANGINIER DENIS,12/03/2014,12/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LANGINIER DENIS,09/10/2013,09/10/2013 -,Formation,,
ASTRAZENECA,Médecin,LEBRUN GHISLAINE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LEBRUN GHISLAINE,09/10/2013,09/10/2013 -,Formation,,
Conceptus SAS,Médecin,LEBRUN Ghislaine,17/10/2013,24/11/2012 - 23/11/2013,Dossier hospitalité – Convention 2007/01 en application de l’article R 4113-107 du Code de la Santé publique dans le domaine de l’hospitalité octroyée à l’occasion de manifestations professionnelles et scientifiques répétitives (type « EPU »),,
MSD France,Médecin,LANGINIER DENIS,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LANGINIER DENIS,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LANGINIER DENIS,27/09/2012,27/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LANGINIER DENIS,10/05/2012,10/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LANGINIER DENIS,25/03/2014,25/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LANGINIER DENIS,14/11/2012,14/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LANGINIER DENIS,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN GHISLAINE,14/11/2012,14/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LEBRUN GHISLAINE,19/09/2013,19/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN GHISLAINE,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN GHISLAINE,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN GHISLAINE,04/04/2013,04/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN GHISLAINE,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
