ASTRAZENECA,Médecin,FOND ROLLAND MICHELE,14/11/2013,14/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,AUBERT GERARD,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,AUBERT GERARD,21/11/2013,21/11/2013 - 21/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,AUBERT GERARD,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CANN CHARLES,02/07/2013,02/07/2013 - 02/07/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,FOND ROLLAND MICHELE,21/11/2013,21/11/2013 - 21/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,FOND ROLLAND MICHELE,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,FOND ROLLAND MICHELE,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,CANN CHARLES,10/10/2013,10/10/2013 - 10/10/2013,Autre : HOSPITALITE RP,,
Laboratoires Grünenthal SAS,Aide soignant,TEXIER NATHALIE,26/03/2014,26/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Infirmier,BELAN AUDE,26/03/2014,26/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Infirmier,CHARDIN JOELLE,26/03/2014,26/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Infirmier,DELALANDE JULIE,26/03/2014,26/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,CHARPENTIER ELISABETH,26/03/2014,26/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,FOND ROLLAND MICHELE,26/03/2014,26/03/2014 -,REUNION SCIENTIFIQUE,,
LASER,Pharmacien,RIVALAN JEAN LOUIS,20/03/2012,20/03/2012 - 31/12/2013,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,AUBERT GERARD,07/11/2013,07/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CANN CHARLES,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,FOND-ROLLAND MICHELE,01/04/2014,01/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,AUBERT GERARD,13/02/2014,13/02/2014 - 13/02/2014,Autre : Réunion scientifique,,
