A+A,Médecin,QUINTY JEAN YVES,21/03/2012,20/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,QUINTY JEAN YVES,29/03/2012,27/03/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,BAHLOUL RACHID,10/02/2014,10/02/2014 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,QUINTY JEAN YVES,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Pharmacien,DESSOL JOSETTE,16/01/2014,16/01/2014 -,Formation,,
Laboratoires Expanscience,Médecin,QUINTY J YVES,04/07/2013,04/07/2013 - 04/07/2013,Formation,,
Lilly France SAS,Médecin,QUINTY JEAN YVES,08/11/2013,08/11/2013 - 08/11/2013,INVITATION,,
LOL PHARMA,Pharmacien,DESSOL ET TABAYSE DESSOL ET TABAYSE,14/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,QUINTY JEAN YVES,20/11/2012,20/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,QUINTY JEAN YVES,18/03/2014,18/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,QUINTY JEAN YVES,04/04/2013,04/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VERILLAUD JEAN MICHEL,20/11/2012,20/11/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,QUINTY JEAN YVES,19/09/2013,19/09/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Infirmier,MARTIN SYLVIE,16/05/2014,16/05/2014 - 16/05/2014,Autre : [Réunion],,
Takeda France,Médecin,QUINTY Jean yves,11/04/2014,11/04/2014 - 11/04/2014,Autre: [Convention d'hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DESSOL TABAYSE / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DESSOL TABAYSE / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DESSOL TABAYSE / SNC,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
