A+A,Médecin,ABDENNEBI LOTFI,04/06/2013,04/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BROCARD FABIEN,19/03/2013,18/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BROCARD FABIEN,30/04/2013,30/04/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DODINOT BERNARD,20/01/2012,19/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,ISSARTEL GERARD,20/12/2013,20/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,ISSARTEL GERARD,04/12/2013,04/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,PIERFITTE BRUNO,24/04/2013,24/04/2013 -,ETUDE DE MARCHE,,
ABBOTT FRANCE,Infirmier,PECYNA CHRISTELLE,27/11/2013,28/01/2014 - 31/01/2014,CONGRES, SYMPOSIUM,,
ABBOTT FRANCE,Médecin,MARCON OLIVIER,27/11/2013,28/01/2014 - 31/01/2014,CONGRES, SYMPOSIUM,,
ABBOTT FRANCE,Médecin,MARCON OLIVIER,07/03/2014,07/04/2014 - 08/04/2014,FORMATION,,
ABBOTT FRANCE,Médecin,MARCON Olivier,27/05/2013,04/06/2013 -,Congres, Symposium,,
ALK-Abelló,Association professionnel de santé,COLLEGE LORRAIN DE PATHOLOGIE THORACIQUE,20/09/2013,14/09/2013 - 14/09/2013,AUTRE : [PRESTATION DE SERVICE],,
All Global,Médecin,Spaeth Dominique,30/12/2013,30/12/2013 -,[Marketing],,
All Global,Médecin,Spaeth Dominique,12/11/2013,10/11/2013 -,[Marketing],,
All Global,Médecin,Spaeth Dominique,08/02/2014,07/02/2014 -,[Marketing],,
All Global,Médecin,Spaeth Dominique,05/03/2014,02/03/2014 -,[Marketing],,
All Global,Médecin,Spaeth Dominique,14/03/2014,14/03/2014 -,[Marketing],,
All Global,Médecin,Spaeth Dominique,20/12/2013,03/12/2013 -,[Marketing],,
All Global,Médecin,Spaeth Dominique,10/11/2013,08/11/2013 -,[Marketing],,
All Global,Médecin,Spaeth Dominique,05/11/2013,05/11/2013 -,[Marketing],,
