A+A,Médecin,BARBIER YVES,14/05/2012,14/05/2012 -,ETUDE DE MARCHE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE EUZEN PHIE EUZEN,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LES LABORATOIRES SERVIER,Médecin,COULON BERTRAND,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,PHIE EUZEN PHIE EUZEN,23/09/2013,25/09/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
M3 Global Research Ltd,Médecin,Alain Kalis,10/04/2014,10/04/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Alain Kalis,06/06/2014,06/06/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,alain kalis,23/05/2014,28/05/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,alain kalis,17/06/2014,17/06/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,alain kalis,16/06/2014,16/06/2014 -,Marketing,,
MSD France,Médecin,BARBIER YVES,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
WorldOne Group B.V.,Médecin,KALIS ALAIN,06/01/2014,06/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,26/02/2014,26/02/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,28/04/2014,28/04/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,16/10/2013,16/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,22/10/2013,22/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,04/06/2014,04/06/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,04/06/2014,04/06/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,11/01/2014,11/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,09/01/2014,09/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,KALIS ALAIN,26/06/2014,26/06/2014 -,AUTRE: [ETUDE DE MARCHE],,
