A+A,Médecin,JAN PIERRE,26/03/2012,26/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,COUETMEUR JEAN YVES,14/11/2013,14/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,COUETMEUR JEAN YVES,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,COUETMEUR JEAN YVES,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,HERCOUET DENIS,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,HERCOUET DENIS,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,BATARD CHRISTOPHE,17/04/2014,17/04/2014 - 17/04/2014,Autre : HOSPITALITE RP,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUETMEUR JEAN YVES,09/04/2014,09/04/2014 - 09/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUETMEUR JEAN YVES,09/10/2013,09/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,COUETMEUR JEAN-YVES,01/04/2014,01/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,COUETMEUR JEAN-YVES,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,HERCOUET DENIS,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,HERCOUET DENIS,01/04/2014,01/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,COUETMEUR JEAN YVES,03/04/2014,03/04/2014 - 03/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,COUETMEUR JEAN YVES,12/04/2014,12/04/2014 - 13/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,HERCOUET DENIS,03/04/2014,03/04/2014 - 03/04/2014,Autre : Réunion scientifique,,
MSD France,Etablissement de santé,PHARMACIE GUINCHARD FOURNERIE,09/07/2013,09/07/2013 -,EXPERT,,
MSD France,Médecin,COUETMEUR JEAN YVES,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HERCOUET DENIS,28/06/2012,28/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HERCOUET DENIS,20/02/2014,20/02/2014 -,CONVENTION D’HOSPITALITÉ,,
