A+A,Médecin,GUERIPEL VALÉRIE,06/01/2014,31/12/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,GUERIPEL VALÉRIE,21/11/2013,21/11/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
bioMérieux,Pharmacien,CHYDERIOTIS GEORGES,28/01/2014,28/01/2014 - 29/01/2014,FORMATION,,
BOIRON,Pharmacien,JACQUOT CLAIRE,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,JUSTAMON HELENE,18/11/2013,18/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,SENELET ANNIE,18/11/2013,18/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,SENELET MARIE,12/11/2013,12/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERTRAND CATHERINE,12/11/2013,12/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MACHETEL VIRGINIE,12/11/2013,12/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARECHAL ELODIE,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARECHAL ELODIE,12/11/2013,12/11/2013 -,[FORMATION],,
IPSEN PHARMA,Médecin,UMROWSING KAAJAL,06/06/2014,06/06/2014 - 06/06/2014,CONVENTION D'HOSPITALITE,,
JANSSEN-CILAG,Médecin,GUERIPEL VALERIE,03/10/2013,03/10/2013 - 04/10/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,GUERIPEL VALERIE,24/01/2013,24/01/2013 - 24/01/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,GUERIPEL VALERIE,24/04/2013,24/04/2013 - 24/04/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUERIPEL VALERIE,24/04/2014,24/04/2014 - 24/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUERIPEL VALERIE,08/11/2013,08/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAGACHE HELENE,24/04/2014,24/04/2014 - 24/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES CONVATEC,Infirmier,CAMPREDON AIMEE,05/06/2014,05/06/2014 - 05/06/2014,AUTRE,,
LUNDBECK SAS,Médecin,DE MATTEIS YVES,13/02/2014,13/02/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
