A+A,Pharmacien,LANG PIERRE STEPHANE,03/05/2013,30/04/2013 -,ETUDE DE MARCHE,,
Laboratoires Grünenthal SAS,Médecin,HAMAN ALAIN,10/10/2013,10/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,HAMAN ALAIN,04/04/2014,04/04/2014 -,REUNION SCIENTIFIQUE,,
Lilly France SAS,Médecin,HAMAN ALAIN,06/02/2014,06/02/2014 - 06/02/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MENARINI FRANCE,Médecin,HAMAN ALAIN,19/06/2014,19/06/2014 - 19/06/2014,Autre : Réunion scientifique,,
MSD France,Médecin,HAMAN ALAIN,17/06/2014,17/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,28/05/2013,28/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,21/01/2014,21/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,20/05/2014,20/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,20/03/2014,20/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,18/03/2014,18/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,22/05/2012,22/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HAMAN ALAIN,17/01/2012,17/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HAMAN ALAIN,24/04/2012,24/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HAMAN ALAIN,13/11/2012,13/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HAMAN ALAIN,17/09/2013,17/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HAMAN ALAIN,05/06/2013,05/06/2013 -,CONVENTION D’HOSPITALITÉ,,
