All Global,Opticien-lunetier,Le Falher Sébastien,15/05/2014,14/05/2014 -,[Marketing],,
BOEHRINGER INGELHEIM FRANCE,Médecin,CRINIERE OLIVIER,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIROD FRANCOIS,27/11/2013,27/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIROD FRANCOIS,12/02/2014,12/02/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
JANSSEN-CILAG,Médecin,GIROD FRANCOIS,10/10/2013,10/10/2013 - 10/10/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CRINIERE OLIVIER,17/09/2013,17/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CRINIERE OLIVIER,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
MSD France,Médecin,CADIC ERWAN,11/06/2014,11/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CRINIERE OLIVIER,17/01/2012,17/01/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,CRINIERE OLIVIER,16/10/2013,16/10/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE COLBERT / SELARL,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Médecin,CADIC ERWAN,19/06/2014,19/06/2014 - 19/06/2014,HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE - CONGRES/SYMPOSIUM,,
