3M France,Association professionnel de santé,JMARU,14/03/2014,26/06/2014 - 27/06/2014,AUTRE : [STAND],,
A+A,Médecin,BERENGIER FRANCOIS,29/03/2012,29/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,BERENGIER FRANCOIS,15/05/2013,14/05/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BERENGIER FRANCOIS,07/03/2012,06/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,BERENGIER FRANCOIS,26/04/2012,25/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,COCHET FREDERIC,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,COCHET FREDERIC,28/12/2012,28/12/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,COCHET FREDERIC,26/01/2012,24/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,JEANROY CHRISTINE,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,26/11/2013,26/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,13/12/2013,12/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,19/11/2012,19/11/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,07/09/2012,07/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,02/08/2013,01/08/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,18/09/2013,18/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,28/12/2012,28/12/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MADRID ANDRE,15/03/2013,15/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,NAAMOUNE FAIZA,31/01/2012,26/01/2012 -,ETUDE DE MARCHE,,
ABBOTT PRODUCTS SAS,Autres types de personne morale,COM&CO,28/01/2014,28/01/2014 - 22/04/2014,SYMPO, CONGRES,,
Actelion Pharmaceuticals France,Fondation,COM-CO,21/05/2014,20/06/2014 - 21/06/2014,AUTRE [PRESTATION PM],,
