A+A,Médecin,LACROIX DAVID,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MAZENC YANNICK,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MAZENC YANNICK,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MAZENC YANNICK,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,ROLS CELINE,03/10/2013,03/10/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MAZENC YANNICK,14/11/2013,14/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Médecin,ROLS CELINE,13/05/2014,13/05/2014 -,[FORMATION],,
LUNDBECK SAS,Médecin,MAZENC YANNICK,26/06/2014,26/06/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
LUNDBECK SAS,Médecin,MAZENC YANNICK,23/01/2014,23/01/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
LUNDBECK SAS,Médecin,POITRINAL SEBASTIEN,26/06/2014,26/06/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
MENARINI FRANCE,Médecin,MAZENC YANNICK,27/05/2014,27/05/2014 - 27/05/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,MAZENC YANNICK,20/02/2014,20/02/2014 - 20/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,ROLS CELINE,27/05/2014,27/05/2014 - 27/05/2014,Autre : Réunion scientifique,,
MSD France,Médecin,MAZENC YANNICK,24/06/2014,24/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MAZENC YANNICK,17/10/2013,17/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MAZENC YANNICK,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ROLS CELINE,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ROLS CELINE,17/10/2013,17/10/2013 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,GLADIN JOSEPH,07/12/2013,07/12/2013 - 07/12/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MAZENC YANNICK,07/12/2013,07/12/2013 - 07/12/2013,Convention d'Hospitalité,,
