A+A,Pharmacien,BOUCHEZ LIONEL,13/06/2014,13/06/2014 -,ETUDE DE MARCHE,,
BOIRON,Médecin,FARGIER LAGRANGE FABIEN,25/04/2014,25/04/2014 -,[FORMATION],,
BOIRON,Médecin,FARGIER LAGRANGE FABIEN,25/04/2014,25/04/2014 -,[FORMATION],,
BOIRON,Médecin,MOURGUES FRANCOISE,12/02/2014,12/02/2014 -,[FORMATION],,
CHIESI SA,Médecin,FARGIER LAGRANGE FABIEN,22/11/2013,22/11/2013 - 22/11/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,GALES GERALD,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,MOURGUES FRANCOISE,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
FERRING SAS,Médecin,FARGIER LAGRANGE FABIEN,21/02/2014,21/02/2014 - 21/02/2014,Autre : Manifestation Scientifique,,
LABORATOIRES URGO,Infirmier,CAMBON RAVEL YOLANDE,07/11/2013,07/11/2013 -,HOSPITALITE,,
LASER,Association professionnel de santé,CLUD,28/02/2013,28/02/2013 - 27/02/2018,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,FARGIER LAGRANGE FABIEN,19/09/2013,19/09/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,TARAQUOIS ALAIN,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,TARAQUOIS ALAIN,11/10/2013,11/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,TARAQUOIS ALAIN,27/02/2014,27/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,VERBAERE PASCALE,19/09/2013,19/09/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,BARGE CHRISTIAN BARGE CHRISTIAN,29/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BARGE CHRISTIAN BARGE CHRISTIAN,29/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BOUCHEZ LIONEL BOUCHEZ LIONEL,02/04/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
Otsuka Pharmaceutical France SAS,Médecin,TARAQUOIS ALAIN,15/05/2014,15/05/2014 - 15/05/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,TARAQUOIS ALAIN,24/06/2014,24/06/2014 - 24/06/2014,Autre:[RP],,
