A+A,Pharmacien,LOPEZ AGNES,25/06/2013,24/06/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BUHAJ STEPHANE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,RENAUDIE MAX,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,TRICAUD PASCAL,25/09/2013,25/09/2013 -,Formation,,
ASTRAZENECA,Médecin,TRUCHASSOUT PARROT DANIELLE,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,TRUCHASSOUT PARROT DANIELLE,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Pharmacien,CHANRAUD BOUYROU ANNIE,06/03/2014,06/03/2014 -,Formation,,
Elixo SAS,Pharmacien,BENSUSSAN BRUNO,23/12/2013,23/12/2013 - 23/12/2013,Autre : [entretien],,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,FRANCOIS BERNARD,07/11/2013,07/11/2013 - 07/11/2013,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BUHAJ STEPHANE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BUHAJ STEPHANE,03/10/2013,03/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RENAUDIE MAX,24/04/2014,24/04/2014 - 24/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,LOPEZ AGNES,06/03/2014,06/03/2014 - 06/03/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Expanscience,Médecin,LAMAZIERE FREDERICK,26/09/2013,26/09/2013 - 26/09/2013,Formation,,
MSD France,Médecin,RENAUDIE MAX,19/03/2014,19/03/2014 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Pharmacien,BENSUSSAN BRUNO,12/03/2014,12/03/2014 -,AUTRE: [ETUDE DE MARCHE],,
