3M France,Chirurgien-dentiste,MAS CATHERINE,30/01/2014,30/01/2014 -,FORMATION,,
A+A,Médecin,DUBLANCHET OLIVIER,17/07/2012,17/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DUVAL PIERRE ANDRE,30/01/2013,29/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MORLOT PASCAL,27/11/2012,27/11/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,DAIEN CLAIRE,03/03/2014,03/03/2014 -,AUTRE: [CONTRAT INVESTIGATEUR],,
AbbVie,Médecin,DEGAVRE BEATRICE,16/04/2014,16/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
Actelion Pharmaceuticals France,Médecin,GENET BURTE FRANCOISE,24/04/2014,24/04/2014 - 24/04/2014,AUTRE [CONNEXION],,
ALK-Abelló,Médecin,PARIS KOHLER AURELIE,13/02/2014,13/02/2014 - 13/02/2014,Autre : RÃ©union scientifique,,
All Global,Médecin,Carrere Michel,27/05/2014,27/05/2014 -,[Marketing],,
All Global,Médecin,Sugier Sophie,29/05/2014,28/05/2014 -,[Marketing],,
All Global,Médecin,Sugier Sophie,25/04/2014,25/04/2014 -,[Marketing],,
AMO FRANCE SAS,Association professionnel de santé,VOIR EN MEDITERRANEE,18/02/2014,24/05/2014 - 24/05/2014,CONGRES,,
AMO FRANCE SAS,Médecin,DUVAL PIERRE-ANDRE,08/04/2014,10/05/2014 - 13/05/2014,CONGRES,,
ASTELLAS PHARMA,Médecin,GAUDARD PHILIPPE,30/01/2012,30/01/2012 -,CONGRES/SYMPOSIUM,,
ASTELLAS PHARMA,Médecin,GAUDARD PHILIPPE,31/03/2012,01/04/2012 - 03/04/2012,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,AVELLANEDA ORCIERE HELENE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BAYARD PIERRE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BAYARD PIERRE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BOSSE MICHEL,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CAILLON KERBOUL BEATRICE,19/02/2014,19/02/2014 -,Formation,,
