A+A,Pharmacien,GUERTON MARTINE,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
AbbVie,Pharmacien,GUERTON MARTINE,05/12/2013,05/12/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,PREVOST JACQUES,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PREVOST JACQUES,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,PREVOST JACQUES,14/11/2013,14/11/2013 -,Formation,,
BOIRON,Pharmacien,GUERTON MARTINE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,GUERTON MARTINE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,GUERTON MARTINE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,GUERTON MARTINE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,JE AN K GUISTEL ANNE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,JE AN K GUISTEL ANNE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,JE AN K GUISTEL ANNE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,JE AN K GUISTEL ANNE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DAVORY PATRICIA,21/11/2013,21/11/2013 -,[FORMATION],,
CHIESI SA,Médecin,CAUCHOIS FRANCIS,17/10/2013,17/10/2013 - 17/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PREVOST JACQUES,17/10/2013,17/10/2013 - 17/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PREVOST JACQUES,22/01/2014,22/01/2014 - 22/01/2014,Autre : HOSPITALITE RP,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GUERTON MARTINE,18/12/2013,18/12/2013 - 18/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GUERTON MARTINE,01/04/2014,01/04/2014 - 01/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GUERTON MARTINE,25/07/2013,25/07/2013 - 23/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
