IPSEN PHARMA,Médecin,CELMA JEAN YVES,22/05/2014,22/05/2014 - 22/05/2014,CONVENTION D'HOSPITALITE,,
LES LABORATOIRES SERVIER,Médecin,CHICOULAA MARC,07/11/2013,07/11/2013 -,Autre : Manifestation scientifique,,
LFB BIOMEDICAMENTS,Médecin,LE GALL RONAN,10/04/2014,10/04/2014 - 10/04/2014,Congrès / Symposium,,
MSD France,Médecin,CELMA JEAN YVES,29/05/2012,29/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CELMA JEAN YVES,13/02/2014,13/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CELMA JEAN YVES,11/02/2014,11/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CELMA JEAN YVES,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CELMA JEAN YVES,27/09/2012,27/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CELMA JEAN YVES,17/01/2012,17/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CELMA JEAN YVES,25/09/2013,25/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CELMA JEAN YVES,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHICOULAA MARC,11/02/2014,11/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHICOULAA MARC,11/02/2014,11/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,CREPEL MARINA,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MUNDIPHARMA,Médecin,CHICOULAA MARC,30/11/2013,30/11/2013 -,FORMATION,,
MUNDIPHARMA,Médecin,CHICOULAA MARC,28/09/2013,28/09/2013 -,FORMATION,,
