A+A,Médecin,VILLETTE JEAN FRANCOIS,22/03/2012,21/03/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,VILLETTE JEAN-FRANCOIS,05/05/2014,05/05/2014 -,RECHERCHE,,
ASTRAZENECA,Médecin,DELAVAUD JEAN MARIE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FRANGEUL CHRISTIAN,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HASCOET LAURENT,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MESA JEAN PHILIPPE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MESA PASCALE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PETIT JEAN CLAUDE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VILLETTE JEAN FRANCOIS,17/12/2013,17/12/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,Desquiret Marie Chantal,15/05/2014,15/05/2014 - 15/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOSTON SCIENTIFIC SAS,Médecin,LEROY JEAN-DOMINIQUE,15/06/2013,15/06/2013 - 16/06/2013,CONGRES / SYMPOSIUM,,
CHIESI SA,Médecin,DELAVAUD JEAN MARIE,12/09/2013,12/09/2013 - 12/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,DELAVAUD JEAN MARIE,15/04/2014,15/04/2014 - 15/04/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,FRANGEUL CHRISTIAN,15/04/2014,15/04/2014 - 15/04/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,FRANGEUL CHRISTIAN,12/09/2013,12/09/2013 - 12/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,HASCOET LAURENT,12/09/2013,12/09/2013 - 12/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PETIT JEAN CLAUDE,12/09/2013,12/09/2013 - 12/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,SALMON CLAUDE,12/09/2013,12/09/2013 - 12/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,VILLETTE JEAN FRANCOIS,15/04/2014,15/04/2014 - 15/04/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,DELAVAUD JEAN MARIE,21/09/2013,21/09/2013 - 22/09/2013,Autre : [ hospitalité ],,
