A+A,Médecin,HIVERT MICHEL,09/04/2013,08/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BULET PHILIPPE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MORANGE PASCAL,05/03/2014,05/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MORANGE PASCAL,09/10/2013,09/10/2013 -,Formation,,
LES LABORATOIRES SERVIER,Médecin,PERRAULT DENIS,22/01/2014,22/01/2014 -,Recherche,,
MSD France,Médecin,BULET PHILIPPE,30/05/2013,30/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BULET PHILIPPE,19/06/2013,19/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BULET PHILIPPE,22/02/2012,22/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BULET PHILIPPE,03/07/2012,03/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BULET PHILIPPE,15/05/2012,15/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BULET PHILIPPE,19/06/2013,19/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SCHONTZ ALAIN,03/07/2012,03/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SCHONTZ ALAIN,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SCHONTZ ALAIN,22/02/2012,22/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SCHONTZ ALAIN,20/10/2012,20/10/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BULET PHILIPPE,19/12/2013,19/12/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,MORANGE PASCAL,11/12/2013,11/12/2013 - 11/12/2013,Convention d'Hospitalité,,
SANOFI PASTEUR MSD SNC,Médecin,MORANGE PASCAL,18/09/2013,18/09/2013 -,Autre : [RP],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L EGLISE,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
