A+A,Médecin,CANTAT PIERRE,09/10/2012,09/10/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Etudiant,COLLIN DIT DE MONTESSON BARBARA,30/10/2013,30/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DUBOS DIDIER,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBOS DIDIER,30/10/2013,30/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DUBOS DIDIER,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBOS DIDIER,29/03/2014,29/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBOS DIDIER,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBOS DIDIER,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBOS DIDIER,19/09/2013,19/09/2013 -,Formation,,
BOIRON,Pharmacien,BIOTEAU MARIE-THERESE,22/11/2013,22/11/2013 -,[FORMATION],,
HOSPIRA FRANCE,Médecin,JOMAA MOUHIN,01/03/2012,01/03/2012 -,INVESTIGATEUR,,
HOSPIRA FRANCE,Médecin,JOMAA MOUHIN,01/03/2012,01/03/2012 -,INVESTIGATEUR,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOS DIDIER,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOS DIDIER,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOS DIDIER,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOS DIDIER,03/10/2013,03/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOS DIDIER,13/02/2014,13/02/2014 - 13/02/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Fondation,PHARMACIE GUIOT,19/10/2012,19/10/2012 -,PRESTATION,,
Laboratoires Grünenthal SAS,Médecin,CANTAT PIERRE,16/01/2014,16/01/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,DUBOS DIDIER,27/02/2014,27/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
