A+A,Pharmacien,GUEUNDJIAN PHILIPPE,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BERAUD PASCAL,18/02/2014,18/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BERAUD PASCAL,22/04/2014,22/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BERAUD PASCAL,05/03/2014,05/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BERAUD PASCAL,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DUC MAUGE MICHEL,05/03/2014,05/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUC MAUGE MICHEL,22/04/2014,22/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUC MAUGE MICHEL,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,EPAULARD LOUIS,05/03/2014,05/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LIMOUZIN ANNE,05/03/2014,05/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MENEVEAU PHILIPPE,05/03/2014,05/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MENEVEAU PHILIPPE,03/07/2013,03/07/2013 -,Formation,,
ASTRAZENECA,Médecin,MENEVEAU PHILIPPE,04/06/2014,04/06/2014 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,BERAUD PASCAL,27/02/2014,27/02/2014 - 27/02/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,DUC MAUGE MICHEL,27/02/2014,27/02/2014 - 27/02/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,MENEVEAU PHILIPPE,08/01/2014,08/01/2014 - 08/01/2014,Autre : [hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MENEVEAU PHILIPPE,04/09/2013,04/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,MENEVEAU PHILIPPE,26/03/2014,26/03/2014 -,REUNION SCIENTIFIQUE,,
LABORATOIRES URGO,Infirmier,GRENIER COLETTE,07/11/2013,07/11/2013 -,HOSPITALITE,,
LABORATOIRES URGO,Infirmier,LACZNY SANDRINE,07/11/2013,07/11/2013 -,HOSPITALITE,,
