3M France,Chirurgien-dentiste,CROCHET VALERIE,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Pharmacien,GONON SOPHIE,20/12/2012,19/12/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,GONON SOPHIE,17/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,GONON SOPHIE,12/07/2013,12/07/2013 -,ETUDE DE MARCHE,,
B3TSI,Médecin,BAUDOT ROUX VALERIE,20/06/2014,20/06/2014 -,autre : enquête téléphonique,,
Bayer HealthCare SAS,Médecin,BARUDIO STEPHAN,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CHARPIN DOMINIQUE REGINE,25/06/2014,25/06/2014 - 25/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DRACH STEPHANE,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GRANGEAT MARIE CLAIRE,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,KLEIN DENIS,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,MOREAU TOD BRIGITTE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PEGOURIE PIERRE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Becton Dickinson France SAS,Fondation,CDO STAND,11/10/2013,11/10/2013 -,CONGRES,,
Becton Dickinson France SAS,Pharmacien,BOUVIER FREDERIQUE,05/12/2013,05/12/2013 -,FORMATION,,
BOIRON,Médecin,CAYON GLAYERE ALEXANDRE,19/06/2014,19/06/2014 -,[FORMATION],,
BOIRON,Médecin,LEVROT EVELYNE,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Médecin,LEVROT EVELYNE,19/06/2014,19/06/2014 -,[FORMATION],,
BOIRON,Médecin,LEVROT EVELYNE,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,COMBAZ ANNE-LAURE,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,GONON SOPHIE,22/07/2013,22/07/2013 -,[RECHERCHE],,
