A+A,Médecin,BAUDRY MICKAEL,29/01/2013,18/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,JOUBERT FRANK,07/01/2014,07/01/2014 -,Formation,,
BOIRON,Autres types de personne morale,PHARMACIE SERRAULT,20/09/2013,20/09/2013 -,[RECHERCHE],,
BOIRON,Médecin,BEILLARD PASCALE,10/04/2014,10/04/2014 -,[FORMATION],,
BOIRON,Médecin,BEILLARD PASCALE,10/04/2014,10/04/2014 -,[FORMATION],,
BOIRON,Sage-femme,BAYLE ELIETTE,10/09/2013,10/09/2013 -,[FORMATION],,
BOIRON,Sage-femme,LEBASTARD SABINE,09/01/2014,09/01/2014 -,[FORMATION],,
BOIRON,Sage-femme,LEBASTARD SABINE,10/04/2014,10/04/2014 -,[FORMATION],,
BOIRON,Sage-femme,LEBASTARD SABINE,20/03/2014,20/03/2014 -,[FORMATION],,
BOIRON,Sage-femme,LEBASTARD SABINE,13/02/2014,13/02/2014 -,[FORMATION],,
JANSSEN-CILAG,Infirmier,BOURSICAUD AGNES,19/07/2013,19/07/2013 - 31/12/2013,RECHERCHE,,
JANSSEN-CILAG,Infirmier,SAMSON CHRISTINE,31/07/2013,31/07/2013 - 31/12/2013,RECHERCHE,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,LABORATOIRES D'ANALYSE MÉDICALES, LE BOUILLE-VITALE,28/08/2012,28/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,LABORATOIRES D'ANALYSE MÉDICALES, LE BOUILLE-VITALE,08/08/2012,08/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,LABORATOIRES D'ANALYSE MÉDICALES, LE BOUILLE-VITALE,07/08/2012,07/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,LABORATOIRES D'ANALYSE MÉDICALES, LE BOUILLE-VITALE,06/08/2012,06/08/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,LABORATOIRES D'ANALYSE MÉDICALES, LE BOUILLE-VITALE,24/07/2012,24/07/2012 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COMPAIN VALERIE,19/09/2013,19/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUBERT FRANK,25/02/2014,25/02/2014 - 25/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUBERT FRANK,19/09/2013,19/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
