ASTRAZENECA,Médecin,MICOREK JEAN YVES,27/11/2013,27/11/2013 -,Formation,,
BOIRON,Médecin,MICOREK JEAN YVES,26/03/2014,26/03/2014 -,[FORMATION],,
BOIRON,Médecin,MICOREK JEAN YVES,03/07/2013,03/07/2013 -,[FORMATION],,
BOIRON,Pharmacien,BUCHERY JOELLE,18/10/2013,18/10/2013 -,[FORMATION],,
BOIRON,Pharmacien,DERVAUX MONIQUE,18/10/2013,18/10/2013 -,[FORMATION],,
BOIRON,Pharmacien,FARNIER FREDERIC,18/10/2013,18/10/2013 -,[FORMATION],,
BOIRON,Pharmacien,SPIESER LAURENCE,18/10/2013,18/10/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENIGAUD SEVERINE,18/10/2013,18/10/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,WINCKLER JOCELYNE,18/10/2013,18/10/2013 -,[FORMATION],,
EXAFIELD,Pharmacien,POPELARD POPELARD,01/01/2014,01/01/2014 -,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARQUIS ELISABETH,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUTTE PATRICE,02/04/2014,02/04/2014 - 03/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUTTE PATRICE,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,COQUELIN NATHALIE,15/04/2014,15/04/2014 - 15/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SPIESER BESSON LAURENCE,15/04/2014,15/04/2014 - 15/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES GENEVRIER,Etablissement de santé,LABORATOIRES COLUXIA,08/04/2014,08/04/2014 -,AUTRE [PACKAGING],,
LABORATOIRES MAYOLY SPINDLER,Médecin,MARINGUE Michel,16/01/2014,16/01/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,MICOREK JEAN-YVES,13/05/2014,13/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LFB BIOMEDICAMENTS,Médecin,MARINGUE MICHEL,05/09/2013,13/09/2013 -,congrès / symposium,,
LFB BIOMEDICAMENTS,Médecin,MOUTTE PATRICE,05/09/2013,05/09/2013 -,congrès / symposium,,
