ASTRAZENECA,Médecin,PIEL JEAN LOUIS,11/09/2013,11/09/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,BANIER NADINE,22/01/2014,22/01/2014 - 22/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BANIER NADINE,22/01/2014,22/01/2014 - 22/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PIEL JEAN LOUIS,22/01/2014,22/01/2014 - 22/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PIEL JEAN LOUIS,06/06/2013,06/06/2013 - 06/06/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PIEL JEAN LOUIS,22/01/2014,22/01/2014 - 22/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BANIER NADINE,25/03/2014,25/03/2014 - 25/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIEL JEAN LOUIS,25/03/2014,25/03/2014 - 25/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIVIEN ARNAUD,28/11/2013,28/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIVIEN ARNAUD,03/10/2013,03/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIVIEN ARNAUD,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES MAYOLY SPINDLER,Médecin,PIEL Jean louis,04/12/2013,04/12/2013 -,AUTRE : [RP Helicobacter],,
LABORATOIRES MAYOLY SPINDLER,Médecin,PIEL Jean louis,04/12/2013,04/12/2013 -,AUTRE : [RP Helicobacter],,
LES LABORATOIRES SERVIER,Médecin,PIEL JEAN-LOUIS,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,LAPEYRE VINCENT LAPEYRE VINCENT,12/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LAPEYRE VINCENT LAPEYRE VINCENT,12/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MUNDIPHARMA,Médecin,BANIER NADINE,20/03/2013,20/03/2013 - 20/03/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,PIEL JEAN LOUIS,20/03/2013,20/03/2013 - 20/03/2013,AUTRE : CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,KESHVADI ARASH,23/05/2014,23/05/2014 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Pharmacien,DUVAL MARIE ASTRID,10/06/2014,10/06/2014 - 10/06/2014,Autre : [Réunion],,
