A+A,Médecin,PERREIN CHRISTIAN,07/03/2012,06/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CAHEN EVELYNE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CAUBEL FRANCOIS,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CHINAULT PATRICIA,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MARTINONI JULIE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MARTINONI JULIE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PARACHE JEAN FRANCOIS,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,PERREIN CHRISTIAN,08/10/2013,08/10/2013 -,Formation,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,18/12/2013,18/12/2013 - 18/12/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,03/07/2013,03/07/2013 - 03/07/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,24/05/2014,03/06/2014 - 03/06/2014,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,26/10/2013,22/10/2013 - 22/10/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,23/02/2014,25/03/2014 - 25/03/2014,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,09/02/2014,27/02/2014 - 27/02/2014,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,29/10/2013,26/11/2013 - 26/11/2013,CONGRES / SYMPOSIUM,,
LEO Pharma,Médecin,BERRICHI ABOUBEKR,11/11/2013,11/11/2013 -,CONGRES / SYMPOSIUM,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,06/11/2013,06/11/2013 -,Autre : Intervenant (Orateur/ Modérateur/ Président...),,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,11/10/2013,11/10/2013 -,Autre : Intervenant (Orateur/ Modérateur/ Président...),,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,22/01/2014,22/01/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/10/2013,05/10/2013 -,Autre : Intervenant (Orateur/ Modérateur/ Président...),,
