A+A,Médecin,MUSSAT PATRICK,27/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,PONSODA STEPHANE,23/10/2013,23/10/2013 -,Formation,,
Bayer HealthCare SAS,Sage-femme,DUBAIL CAROLE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Sage-femme,EDOM SEIGNE BERNADETTE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Etudiant,DECOSSE BENJAMIN,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,BRELET GAELLE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,GUITTON CHRISTINE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,OLLIVIER SUZY,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,TENAUD CLAIRE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEVY MARIE-AUDILE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Sage-femme,DUBAIL CAROLE,17/06/2014,17/06/2014 -,[FORMATION],,
BOIRON,Sage-femme,DUBAIL CAROLE,28/01/2014,28/01/2014 -,[FORMATION],,
BOIRON,Sage-femme,DUBAIL CAROLE,18/03/2014,18/03/2014 -,[FORMATION],,
BOIRON,Sage-femme,EDOM SEIGNE BERNADETTE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Sage-femme,EDOM SEIGNE BERNADETTE,18/03/2014,18/03/2014 -,[FORMATION],,
BOIRON,Sage-femme,EDOM SEIGNE BERNADETTE,03/12/2013,03/12/2013 -,[FORMATION],,
BOIRON,Sage-femme,EDOM SEIGNE BERNADETTE,17/06/2014,17/06/2014 -,[FORMATION],,
BOIRON,Sage-femme,EDOM SEIGNE BERNADETTE,28/01/2014,28/01/2014 -,[FORMATION],,
IMS HEALTH SAS,Médecin,MUSSAT Patrick,01/10/2013,01/10/2013 -,autre : Etude observationnelle,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MUSSAT PATRICK,14/02/2012,14/02/2012 -,Recherche,,
