A+A,Médecin,MASOUY PHILIPPE,03/12/2013,02/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GUILLEMOT JEAN FRANCOIS,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,RICHARDOT PHILIPPE,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,RICHARDOT PHILIPPE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,RICHARDOT PHILIPPE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,RICHARDOT PHILIPPE,28/01/2014,28/01/2014 -,Formation,,
ASTRAZENECA,Médecin,RICHARDOT PHILIPPE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,RICHARDOT PHILIPPE,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RICHARDOT PHILIPPE,29/10/2013,29/10/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,RICHARDOT PHILIPPE,08/04/2014,08/04/2014 - 08/04/2014,Autre : [hospitalité],,
EG LABO - LABORATOIRES EUROGENERICS,Pharmacien,GASSER MICHEL,03/04/2014,03/04/2014 - 03/04/2014,Salon/MAD de stand,,
EG LABO - LABORATOIRES EUROGENERICS,Pharmacien,LESCA ANNIE,03/04/2014,03/04/2014 - 03/04/2014,Salon/MAD de stand,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE GASSER PHIE GASSER,11/03/2014,08/04/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE GASSER PHIE GASSER,20/01/2014,06/02/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLEMOT JEAN FRANCOIS,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RICHARDOT PHILIPPE,01/04/2014,01/04/2014 - 02/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RICHARDOT PHILIPPE,18/02/2014,18/02/2014 - 18/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RICHARDOT PHILIPPE,17/09/2013,17/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,GUILLEMOT JEAN FRANCOIS,26/09/2013,26/09/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,GUILLEMOT JEAN FRANCOIS,20/02/2014,20/02/2014 -,REUNION SCIENTIFIQUE,,
