ASTRAZENECA,Médecin,BARBIEUX Charles,29/11/2013,29/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,MAISONNEUVE JEAN FRANCOIS,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MARCHAIS BERNARD,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MARCHAIS BERNARD,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MARCHAIS BERNARD,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MARCHAIS BERNARD,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MARCHAIS BERNARD,24/04/2014,24/04/2014 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,MARCHAIS BERNARD,10/10/2013,10/10/2013 - 10/10/2013,Autre : [ hospitalité ],,
GIBAUD,Pharmacien,ROSENFELD Catherine,07/04/2014,23/01/2014 -,Formation,,
GIBAUD,Pharmacien,VANDYCKE Emilie,07/04/2014,23/01/2014 -,Formation,,
JANSSEN-CILAG,Médecin,MAISONNEUVE JEAN FRANCOIS,21/11/2013,21/11/2013 - 21/11/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPONT MARCHAIS MARTINE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAISONNEUVE JEAN FRANCOIS,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCHAIS BERNARD,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
MSD France,Médecin,DUPONT MARCHAIS MARTINE,20/03/2014,20/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCHAIS BERNARD,20/03/2014,20/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCHAIS BERNARD,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCHAIS BERNARD,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,MAISONNEUVE JEAN FRANCOIS,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE CHAMPS DE ROSES,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
