DAIICHI SANKYO FRANCE SAS,Médecin,LASPOUGEAS ALAIN,12/10/2013,12/10/2013 - 13/10/2013,Autre : [ hospitalité ],,
LOL PHARMA,Pharmacien,BONNET BONNET,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BONNET BONNET,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BONNET BONNET,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
PIERRE FABRE MEDICAMENT,Médecin,CARPENTIER CAROLINE,20/11/2013,20/11/2013 -,CONVENTION D'HOSPITALITE,,
Second Stage Pharma,Médecin,LASPOUGEAS ALAIN,02/03/2014,02/03/2014 -,RECHERCHE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARTAULT BONNET / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARTAULT BONNET / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARTAULT BONNET / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARTAULT BONNET / SNC,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Pharmacien,BONNET CORINNE,05/06/2014,05/06/2014 - 06/06/2014,HOSPITALITE - VISITE DE SITE INDUSTRIEL  - CONGRES/SYMPOSIUM,,
TEVA SANTE SAS,Pharmacien,BONNET DANIEL,05/06/2014,05/06/2014 - 06/06/2014,HOSPITALITE - VISITE DE SITE INDUSTRIEL  - CONGRES/SYMPOSIUM,,
