A+A,Médecin,COURTINE DOMINIQUE,09/03/2012,09/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BATTAGLIA JEAN MARC,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BATTAGLIA JEAN MARC,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BATTAGLIA JEAN MARC,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BATTAGLIA JEAN MARC,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BATTAGLIA JEAN MARC,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BATTAGLIA JEAN MARC,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BATTAGLIA JEAN MARC,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CONTAL DENISE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CONTAL DENISE,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,CONTAL DENISE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CONTAL DENISE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CONTAL DENISE,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,OURY FRANCOIS,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,OURY FRANCOIS,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,OURY FRANCOIS,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,OURY MOREAU NATHALIE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,OURY MOREAU NATHALIE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,OURY MOREAU NATHALIE,17/04/2014,17/04/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BATTAGLIA JEAN MARC,16/10/2013,16/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
