A+A,Pharmacien,BAUSIERE PHILIPPE,05/10/2012,05/10/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,COFFIN ISABELLE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DORCHIES LE CARPENTIER CHRISTINE,23/01/2014,23/01/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SAUCISSE OLIVIER,10/10/2013,10/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,DORCHIES LE CARPENTIER CHRISTINE,24/01/2014,24/01/2014 - 24/01/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,VIANNAYE ALAIN,08/11/2013,08/11/2013 - 08/11/2013,Autre : [ hospitalité ],,
LES LABORATOIRES SERVIER,Médecin,DANG NICOLAS,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DORCHIES LE CARPENTIER CHRISTINE,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Médecin,SAUCISSE OLIVIER,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,SAUCISSE OLIVIER,21/11/2013,21/11/2013 - 21/11/2013,INVITATION,,
Lilly France SAS,Médecin,SAUCISSE OLIVIER,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
PFIZER SAS,Médecin,DORCHIES LE CARPENTIER CHRISTINE,08/10/2013,08/10/2013 - 08/10/2013,HOSPITALITE RP/CONGRES / SYMPO,,
PIERRE FABRE MEDICAMENT,Médecin,VIANNAYE ALAIN,20/11/2013,20/11/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BAUSIERE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BAUSIERE,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GERARD,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GERARD,15/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GERARD,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GERARD,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
